"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language used most often at work","          Blackfoot",,       0,,       0,,       0,,      80,,      45,,      35,
"Language used most often at work","          Cree-Montagnais languages",,       0,,       0,,       0,,   11540,,    5820,,    5720,
"Language used most often at work","            Atikamekw",,       0,,       0,,       0,,    1095,,     580,,     515,
"Language used most often at work","            Montagnais (Innu)",,       0,,       0,,       0,,    2055,,     970,,    1085,
"Language used most often at work","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Naskapi",,       0,,       0,,       0,,     370,,     180,,     190,
"Language used most often at work","            Northern East Cree",,       0,,       0,,       0,,      40,,      25,,      10,
"Language used most often at work","            Plains Cree",,       0,,       0,,       0,,      95,,      60,,      35,
"Language used most often at work","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Swampy Cree",,       0,,       0,,       0,,      15,,      10,,       0,
"Language used most often at work","            Woods Cree",,       0,,       0,,       0,,      75,,      35,,      40,
"Language used most often at work","            Cree; n.o.s.",,       0,,       0,,       0,,    7795,,    3965,,    3835,
"Language used most often at work","          Eastern Algonquian languages",,       0,,       0,,       0,,     925,,     510,,     420,
"Language used most often at work","            Malecite",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","            Mi'kmaq",,       0,,       0,,       0,,     915,,     505,,     410,
"Language used most often at work","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,    1895,,     995,,     900,
"Language used most often at work","            Algonquin",,       0,,       0,,       0,,      45,,      20,,      25,
"Language used most often at work","            Ojibway",,       0,,       0,,       0,,     765,,     380,,     385,
"Language used most often at work","            Oji-Cree",,       0,,       0,,       0,,    1080,,     595,,     485,
"Language used most often at work","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Athabaskan languages",,       0,,       0,,       0,,    1140,,     530,,     610,
"Language used most often at work","          Northern Athabaskan languages",,       0,,       0,,       0,,    1135,,     525,,     610,
"Language used most often at work","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Carrier",,       0,,       0,,       0,,      20,,       0,,      15,
"Language used most often at work","            Chilcotin",,       0,,       0,,       0,,      20,,       0,,      10,
"Language used most often at work","            Dene",,       0,,       0,,       0,,     770,,     360,,     405,
"Language used most often at work","            Dogrib (Tlicho)",,       0,,       0,,       0,,     165,,      80,,      80,
"Language used most often at work","            Gwich'in",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Slavey-Hare languages",,       0,,       0,,       0,,     135,,      65,,      70,
"Language used most often at work","              North Slavey (Hare)",,       0,,       0,,       0,,      95,,      45,,      45,
"Language used most often at work","              South Slavey",,       0,,       0,,       0,,      35,,      20,,      20,
"Language used most often at work","              Slavey; n.o.s.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","            Tahltan languages",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","              Kaska (Nahani)",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Haida",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","        Inuit languages",,       0,,       0,,       0,,    8845,,    4255,,    4595,
"Language used most often at work","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      35,,      10,,      25,
"Language used most often at work","          Inuktitut",,       0,,       0,,       0,,    8800,,    4240,,    4555,
"Language used most often at work","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","        Iroquoian languages",,       0,,       0,,       0,,      35,,      10,,      30,
"Language used most often at work","          Cayuga",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","          Mohawk",,       0,,       0,,       0,,      35,,      10,,      25,
"Language used most often at work","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Michif",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","        Salish languages",,       0,,       0,,       0,,     110,,      25,,      85,
"Language used most often at work","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Halkomelem",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","          Lillooet",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","          Okanagan",,       0,,       0,,       0,,      20,,      10,,      20,
"Language used most often at work","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,      35,,       0,,      30,
"Language used most often at work","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Straits",,       0,,       0,,       0,,      15,,       0,,      15,
"Language used most often at work","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","          Salish languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","        Siouan languages",,       0,,       0,,       0,,     260,,     155,,     105,
"Language used most often at work","          Dakota",,       0,,       0,,       0,,      20,,      10,,      10,
"Language used most often at work","          Stoney",,       0,,       0,,       0,,     240,,     145,,      95,
"Language used most often at work","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
